nama_pengguna,rating,ulasan,clean_ulasan,sentimen
Kintan Jasmine,1,aplikasinya nipu harga jangan di download,aplikasi nipu harga download,netral
Kalena Efris,1,"Ga usah nyantumin diskon kalau ga bisa dipakai. Aplikasi scammer, jangan di download",nyantumin diskon pakai aplikasi scammer download,netral
Abah Nanang,5,serba mudah mantap pokona mah,serba mudah mantap pokona mah,positif
boy bobom,1,Tokopedia banyak barang palsu dan tidak asli dan barang ilegal dan tidak ada perijinan dari pajak dan bea cukai...pantas negara Indonesia jadi rugi sekitar Rp 235.82 triliun,tokopedia barang palsu asli barang ilegal perijinan pajak bea cukai negara indonesia rugi rp triliun,netral
Surya Zurya,1,"Aplikasi sering bermasalah mengenai jaringan, padahal wifi selalu normal, namun server tokopedia sering tidak merespon, tolong perbaiki segera.",aplikasi masalah jaring wifi normal server tokopedia merespon tolong baik,positif
David Wong,5,"aplikasi terbaik ,tidak diragukan lagi",aplikasi baik ragu,positif
Yogi Aditya Firmansyah,1,berat bgt ini aplikasi tokped skrg. dulu saya lbh prioritas tokped ketimbang keranjang kuning krn apk nya enteng. skrg buat scroll2 cari barang sbntar aja udh berat. HP RAM 12 padahal.,berat banget aplikasi tokped skrg lbh prioritas tokped ketimbang keranjang kuning krn apk nya enteng skrg scroll cari barang sbntar aja berat hp ram,netral
supyan,1,sekarang pengiriman di tokopedia jadi lelet banget,kirim tokopedia lelet banget,netral
Upil Cacing,5,pertama belanja. semoga banyak promo dan gratis ongkir,belanja moga promo gratis ongkir,netral
Abdullah,5,goods ferry good,goods ferry good,netral
Ninik Puji Rahayu,1,banyak modus penipuan,modus tipu,negatif
Dzakwan ALBahy,1,parameter batasan keranjangnya ABSURD haha kalo pakai batasan item barang atau toko tidak masalah ini malah pakai batasan pcs juga. efeknya ini saya pesen kertas 1000 pcs gk bisa jadinya wkkw. klik beli juga gk bisa karena larinya kekeranjang dan pasti kena batas max pcs lagi,parameter batas keranjang absurd haha kalo pakai batas item barang toko pakai batas pcs efek sen kertas pcs wkkw klik beli lari keranjang kena batas max pcs,netral
Budi,1,saya kena tipu toko abal abal tokopedia tidak ada tanggapan buat membantu saya,kena tipu toko abal abal tokopedia tanggap bantu,negatif
I Ketut Wintara,1,"LEBIH BAIK BELANJA DI SHOPEE DARI PADA TOKOPEDIA .. SUDAH PESAN BAYAR .., SUDAH DITUNGGU MALAH BARANG TIDAK DATANG TAMPA KONFIRMASI DAN UANG MASUK KE SALDO TOKOPEDIA",belanja shopee tokopedia pesan bayar tunggu barang tampa konfirmasi uang masuk saldo tokopedia,netral
Agus Efendi,1,"Barusan saya kena tipu saya wa ke no. wa yg dapet dari Instagram resminya tokopedia. karena ada pembatalan pembelian., dia nyuruh saya beli barang terus dibatalin akhirnya saya beli tapi saldonya ngk balik lagi malah ada yg ngambil di akun tokopedia punya saya",barusan kena tipu wa no wa dapet instagram resmi tokopedia batal beli nyuruh beli barang dibatalin beli saldo ngk ngambil akun tokopedia,negatif
Badron Sodron,1,aplikasi parah promo besar buat pelanggan tertarik dan akhirnya dibikin kecewa barang gak pernah dikirim,aplikasi parah promo langgan tarik bikin kecewa barang kirim,negatif
Indara Aldairihh,5,proses cpt,proses cpt,netral
Kagasaki Futari (FK),3,"isi bagus, mines notifikasi bloatware. jalan Mulu dan gak bisa dihilangkan, biasanya promo iklan",isi bagus mes notifikasi bloatware jalan mulu hilang promo iklan,positif
Andre Salim,1,"mau pengembalian barang tapi kurirnya tidak datang2, akhirnya komplain ketutup sendiri & dianggap membeli.",kembali barang kurir komplain tutup anggap beli,netral
Dhivan Saputro,5,anjay,anjay,netral
Arif Agustiyan,1,"aplikasi aneh dan gak laku... banyak toko yang di blokir ,gmn mau bersaing dengan toko sebelah... owner nya kelewat TOLOL",aplikasi aneh laku toko blokir gmn saing toko belah owner nya lewat tolol,netral
ochim tsukino,5,"saya tdk akan pernah berbelanja di Tokopedia lagi, banyak toko yg menjual barang tdk layak, mohon ditindaklanjuti",tdk belanja tokopedia toko jual barang tdk layak mohon ditindaklanjuti,netral
rovi jack016,5,proses cepat dan mudah,proses cepat mudah,positif
Indra Irwana,3,"Kenapa ini apk tokopedia, mu masuk ke tagihan tokopedia card saja sudah 2 hari tidak bisa masuk, bagaimana saya bayar jika tidak bisa masuk ke menu tagihan tokopedia card",apk tokopedia mu masuk tagih tokopedia card masuk bayar masuk menu tagih tokopedia card,netral
Mihoyo,1,"coba benerin lagi sistem tokopedia card nya, mau bayar dipersulit, ada aja alesanya, kayak koneksi internetlah, trus harus tunggu 15 menit lah, padahal udah ditungguin sampai besoknya tetep aja gk bisa, masa masalah kyk gini gk hilang hilang, dan masalahnya sampai berhari hari",coba benerin sistem tokopedia card nya bayar sulit aja alesanya kayak koneksi internetlah trus tunggu menit udah ditungguin besok tetep aja kyk gin hilang hilang hari,netral
abang toyib,1,"sekarang Tokopedia aneh pertama saya beli di Tokopedia bisa cod pas udah beli, saya mau beli lagi udah gak bisa cod mau beli apapun juga memang aneh",tokopedia aneh beli tokopedia cod pas udah beli beli udah cod beli apa aneh,netral
galag azis,1,"APLIKASI INI SUDAH MILIK CINA PKI, BUKAN APLIKASI MILIK ANAK BANGSA LAGI... WKWK, KONOHA INDO UDAH DIBELI SAMA CINA",aplikasi milik cina pki aplikasi milik anak bangsa wkwk konoha indo udah beli cina,netral
Iman Zaenal Mutaqin,5,bagus,bagus,positif
Ayu Nita,1,"KURIR ID EXPRESS SERING CHAT SETELAH KIRIM PAKET LALU MEMINJAM UANG, SEBAIKNYA PAKAI SI CEPAT SAJA KARENA SI CEPAT KURIRNYA SOPAN"", JNE MALAS ANTAR KE RUMAH SUKA MINTA KITA KE JALAN AMBIL DI JALAN UTAMA, J&T JUGA MALAS ANTAR KE RUMAH MALAS TURUN DARI MOTOR KITA YANG HARUS NYAMPERIN KE MOTOR",kurir id express chat kirim paket pinjam uang pakai si cepat si cepat kurir sopan jne malas rumah suka jalan ambil jalan utama j t malas rumah malas turun motor nyamperin motor,positif
priyatna bonong,3,sekarang jadi stupid banget fitur pencarian di Tokopedia. Jelas-jelas barangnya ada di toko dan di ketik sesuai nama barang; tetap muncul barang tidak ditemukan! bikin males saja cari barang di Tokopedia. Sejauh ini terus menurun kualitas app Tokopedia.,stupid banget fitur cari tokopedia barang toko ketik sesuai nama barang muncul barang temu bikin males cari barang tokopedia turun kualitas app tokopedia,positif
Syandi Nugroho,5,oke,oke,positif
Andi Cpx,1,Nebar iklan di mana mana saya tidak suka,nebar iklan suka,netral
Teguh Bangun Aribowo,5,ok,ok,netral
Tony Reiha,3,"Gan, setelah di update Fitur Feed Update di tokped nya kok tidak bisa di scroll ya?",gan update fitur feed update tokped nya scroll ya,netral
Adi Siswanto,4,ini dlu.... semoga lancar jaya,dlu moga lancar jaya,netral
m ali mustofa,2,kok macet mau bayar,macet bayar,negatif
ORIGINAL GARAGE,4,tidak seperti dulu,,netral
Rfn _,1,"pembayaran pake gopay saldonya selalu tidak terdeteksi, padahal udah ditopup ehh saldo gopay tabungan malah yang tampil, giliran di topup ke gopay tabungan ehh malah saldo utama yang tampil, hal hasil saya harus top up dua duanya baru bisa",bayar pake gopay saldo deteksi udah ditopup ehh saldo gopay tabung tampil gilir topup gopay tabung ehh saldo utama tampil hasil top up dua,positif
ERHICKSON JANTONIUS SITUMORANG,5,terimahkasih,terimahkasih,netral
Istriheni Monalisatayu,1,"beli diskon dapat kupon event kemarenan disuruh tf dl baru dapat potongan,bayar 40rb,stlh diitung2 eh harga normal cm free ongkir,gimik doang beli kopi 20pcs jatohny satuan2rb,mau bangkrut cukup 1x ja",beli diskon kupon event kemarenan suruh tf dl potong bayar rb stlh diitung eh harga normal cm free ongkir gimik doang beli kopi pcs jatohny satu rb bangkrut x ja,netral
Mukhtar Setiawan,1,koneksi timeout mlu KNPA dah babhi,koneksi timeout mlu knpa dah babhi,netral
Faizal Setiawan,1,"aplikasi buruk sekali, sudah beli pesanan ga dikirim, minta refund malah saldo pake acara ditahan sangat menyulitkan pembeli jangan sampai ada lagi yang ketipu sama aplikasi ini",aplikasi buruk beli pesan kirim refund saldo pake acara tahan sulit beli tipu aplikasi,negatif
Reggina Putri,1,ko akun saya gak bisa klaim voucher sih....,ko akun klaim voucher sih,netral
ilham_ faauzi,1,"bug yang ga pernah fix setiap update aplikasi, ketika melihat foto"" ulasan geser bawah atas kanan kiri hampir gabisa, perbaiki dong min, ngehambat banget bug itu.",bug fix update aplikasi foto ulas geser kanan kiri gabisa baik min ngehambat banget bug,negatif
ali mohammad,5,bagus,bagus,positif
eko jerry eko,1,belanja di sini jarang yang bisa cod,belanja jarang cod,netral
Linka Damin,5,sangat baik membantu saya,bantu,netral
deni saputra,3,"tolong dibuat virtual account kyk aplikasi shopee, bisa buat berbagai macam virtual account msal BSI bisa 10 virtual account untuk 10 produk, krna kami mau booking dulu 10 barang baru bayar, kalau disini harus bayar dulu, sdgkn kalau mau beli produk baru lg jdi produk pertama hilang karna sdh beli produk kedua. tolong diperbaiki. makasih",tolong virtual account kyk aplikasi shopee virtual account msal bsi virtual account produk krna booking barang bayar bayar sdgkn beli produk lg jdi produk hilang karna beli produk tolong baik makasih,positif
Dwi Hartono,5,"Simpel,lengkap,cepat.",simpel lengkap cepat,positif
Anggara Selian,5,sukses,sukses,netral
Fardan bimantara putra,1,"filternya buruk gak kyk dulu, cari barang harus ulang filter terus saat kembali.. sortirnya juga sekarang ngawur kenapa malah jelek daripada yg dulu?",filter buruk kyk cari barang ulang filter sortir ngawur jelek,negatif
Ilhami Putri Ajeng,5,"memuaskan, Produk paling lengkap ya diTokped apapun dicari pasti adaaa Mantap",muas produk lengkap ya ditokped apa cari adaaa mantap,positif
Darrel Ammarnibras,5,bagus mangtap minus kebanyakan error tapi oke,bagus mangtap minus banyak error oke,positif
Asmadi Asmadi,5,mantap toko pedia,mantap toko dia,positif
Yayat Hidayat 15,5,keren,keren,positif
Tulisen dewe,5,"tiktok paylater tidak bisa dibuka padahal masih ada angsuran sudah jatuh tempo,CS pun tidak bisa terhubung.aplikasinya makin kacau ........",tiktok paylater buka angsur jatuh tempo cs hubung aplikasi kacau,netral
Ejicandra12,3,"jika pesan barang terus kita tidak mengisi reting toko, bisa otomatis mengisi sendiri wkwkwk",pesan barang isi reting toko otomatis isi wkwkwk,netral
Ginie Oh Ginie,1,"Tokped now many Seller not active, CO never processed, but Admin do nothing never block Merchant & often Banned/block Customer with reason break the rules, perhaps no need customer anymore, no more longer will BANKRUPT Market Place like this.....!!!!!! 💩 💩 💩 🙊 🙊 🙊 🤮 🤮 🤮",tokped now many seller not active co never processed but admin do nothing never block merchant often banned block customer with reason break the rules perhaps no need customer anymore no more longer will bankrupt market place like this,netral
Rizal Muhammad,5,Perbaikan yg bagus,baik bagus,positif
AL,1,TIM TOKOPEDIA CARE SANGAT TIDAK PROFESIONAL.,tim tokopedia care profesional,netral
Fake World,5,cekatan,cekat,netral
Arjun Triyono,5,"mau tolong tambahin fitur masukan pin dulu klo mau blanja online, karena yg sekarang terlalu mudah belanja tinggal 2 klik doang langsung di proses, nanti buat alasan costumer nge return, dg alsan kepencet, kasihan orang2 kurirnya, ini untuk di tokopedia maupun di tiktok shop ya",tolong tambahin fitur masuk pin klo blanja online mudah belanja tinggal klik doang langsung proses alas costumer nge return dg alsan pencet kasihan orang kurir tokopedia tiktok shop ya,netral
Emil Ismail,1,makin lemah saya cekout gak ada respon sampe seminggu duakali ulang hadeuh parah,lemah cekout respon sampe minggu duakali ulang hadeuh parah,negatif
Sandi Lesmana,1,Aplikasi ini sangat tidak jelas dalam pelayanan Maslah barang cacat sudah kirim bukti tetapi di tidak ada solusi di tambah pelayanan cs gak manusiawi tidak mendengar keluhan dan selalu tutup komplain ketika komplain aplikasi ini buruk sekali,aplikasi layan mas barang cacat kirim bukti solusi layan cs manusiawi dengar keluh tutup komplain komplain aplikasi buruk,negatif
Jamaluddin Situru,3,"Bagus cuma Ongkir nya sangat mahal dari harga barang 20.000 jadi total 69.000,mohon di kurangi sedikit harga ongkir nya",bagus ongkir nya mahal harga barang total mohon kurang harga ongkir nya,positif
Agus Sopian,1,anjinglah. saya setiap kali pesan kurir nya kurang ramah tidak ada konfirmasi lagi kapan pengantaran paket nya. cobalah di berbaiki untuk proses pengantaran paket nya,anjing kali pesan kurir nya ramah konfirmasi antar paket nya coba baik proses antar paket nya,positif
Agus Riyanto,5,bagus,bagus,positif
Ismar Tanto,5,oke,oke,positif
Glend Saputro,3,tidak bisa update,update,netral
Hil Ay,5,ok,ok,netral
MUHAMMAD ASWIN SUHADDA HARAHAP,5,mudah cepat dan praktis,mudah cepat praktis,positif
Mochandik Alvino27,5,hemat banget sangat membantu,hemat banget bantu,netral
Khasan Jepara,2,"tidak bisa beli pakai cod padahal sayang sekali banyak orang yg ingin beli di Tokopedia karena kualitasnya dan barang barang nya bagus bagus mau beli ( Vape / pod ) enggak bisa beli mau jadi langganan ( Vape / pod ) tetapi metode pembayaran nya ( debit ). toko bagus hanya metode nya yg buruk, ini saran tolong langsung di ubah langsung.",beli pakai cod sayang orang beli tokopedia kualitas barang barang nya bagus bagus beli vape pod beli langgan vape pod metode bayar nya debit toko bagus metode nya buruk saran tolong langsung ubah langsung,positif
Enda Bayau Aquriuss,1,"sekarang belanja di tokopedia gk bisa bayar di tempat,,,",belanja tokopedia bayar,netral
hendra cenet,5,sangat bagus trmksh,bagus trmksh,positif
ywm,5,bagus,bagus,positif
yesa andina,1,"cs tidak membantu, promo yg didapat tidak sesuai, cashback tidak diterima",cs bantu promo sesuai cashback terima,positif
Amin Wibowo,1,Ongkir nya Ter parah SE online lain....hanya bagus paylater nya🤣🤣.beli 2X .barang GK terkirim kirim..toko nya pada GK amanah...Tutup saja,ongkir nya ter parah online bagus paylater nya beli x barang kirim kirim toko nya amanah tutup,netral
Cash Nauval,4,gan metode pilihan pembayaran susah di buka. tolong di perbaiki. mw belanja jadi susah,gan metode pilih bayar susah buka tolong baik mw belanja susah,negatif
Aing Saha,4,4 dulu ya.,ya,netral
Mld Super,3,"mau ganti nomor aja susahnya minta ampun ,,, anjg, ribet hidop loe",ganti nomor aja susah ampun anjg ribet hidop loe,negatif
Fo Salta13,5,bagus,bagus,positif
Frisca Clarissa,1,"Jangan di install. Aplikasi penipu diskon, saat mau beli diskonnya hilang. Sayangi waktu kalian pakai aplikasi lain",install aplikasi tipu diskon beli diskon hilang sayang pakai aplikasi,negatif
Jaka Geledek,5,banyakin gratis ongkir biar tambah maju,banyakin gratis ongkir biar maju,netral
The Leons,1,sekarang tokpedia parah ya.saya komplain atas penipuan yang saya alami sudah beberpa hari gak di tanggapi..,tokpedia parah ya komplain tipu alami beberpa tanggap,negatif
Ajis Supriadi,4,mantap,mantap,positif
kurukurukputasaja kurukurukputasaja,5,top markotop lah untuk lazada,top markotop lazada,positif
Minth Joyo,1,Rekomendasi kurirnya tidak bagus pengiriman dekat bisa 1 minggu lebih,rekomendasi kurir bagus kirim minggu,positif
SUNARDI,5,mantab......,mantab,netral
Keenan Reynando,1,"semua pelayanan sangat lambat chat penjual pun tidak ada respon penjemputan kurir sampe 3 hari masih disuruh nunggu 3 hari lagi..masa iya proses sampe seminggu baru dikirim, itupun kalau dikirim",layan lambat chat jual respon jemput kurir sampe suruh nunggu iya proses sampe minggu kirim itu kirim,negatif
Boy Horor,5,sip deh,sip deh,netral
Iwan Setiawan,5,bagus aplikasinya Enak di pakai,bagus aplikasi enak pakai,positif
Surati Margining wahyu,1,"aplikasi error. tambah keranjang selalu ""terjadi kesalaha"". susah buat beli produk berbeda dalam 1 toko & 1 pengiriman. tampilannya aja yang sok modern. kupon promo2nya juga ga bisa dipakai, alias ngibul.",aplikasi error keranjang kesalaha susah beli produk beda toko kirim tampil aja sok modern kupon promo nya pakai alias ngibul,negatif
Superman777,1,"Saya mesen barang tiba tiba dicancel karena kesalahan penetapan harga,uang saya gak dikembalikan 100 persen",mesen barang dicancel salah tetap harga uang kembali persen,netral
Ahmad Tauviq,5,bagus parcaya...,bagus parcaya,positif
Heri Santika,5,jnice,jnice,netral
Arik Rahman,4,sitem COD masih belum ada di metode pembayaran,sitem cod metode bayar,netral
Jalim Jalim,2,ongkir nya hampir sama dengan harga nya parah😂,ongkir nya harga nya parah,negatif
Ai Fatmawati,5,menu halaman gampang dipake,menu halaman gampang dipake,netral
Pak Supriono,1,"pada tanggal 17 Oktober lalu saya sudah transfer uang buat beli amplifier Yamaha, tapi ternyata barang sdah habis, lalu saya menanyakan dana refund saya,, tapi akun saya justru diblokir,,dan setelah akun saya aktif lagi, saya tidak bisa melihat data transaksi saya dan dana refund saya belum dikembalikan sampai sekarang.... liciknya Tokopedia ialah, memblokir akun saya!! hiingga setelah saya aktif lagi dengan akun baru, saya tidak bisa lihat data transaksi saya",tanggal oktober transfer uang beli amplifier yamaha barang sdah habis dana refund akun blokir akun aktif data transaksi dana refund kembali licik tokopedia blokir akun hiingga aktif akun lihat data transaksi,negatif
Yozil Efatmi,5,sangat membantu,bantu,netral
Krisna Bagus Wahyu,1,ini gimana sih mau buka all chat malah muncul kolom rekomendasi ga penting banget anjir mau chat seller lama gaisa diperbaiki lagi lah lu sistimnya,gimana sih buka all chat muncul kolom rekomendasi banget anjir chat seller gaisa baik lu sistimnya,positif
Eliza Sukiman,5,"cari barang -barang elektronika di Toko pedia , lebih lengkap , lebih murah , mendapatkan pelayanan terbaik.",cari barang barang elektronika toko dia lengkap murah layan baik,positif
Botol,2,posting lebih dahulu resep search,posting resep search,netral
Kang Izul,5,sangat mudah,mudah,netral
mardian Pro,5,sangat membantu sekali dari segala proses pembayaran dan pengiriman,bantu proses bayar kirim,netral
harun lubis,1,Sangat tidak profesional dalam menangani kendala apabila terjadi keterlambatan kurir dan ternyata tidak ada jaminan bahwa barang yg kita beli terlambat atau bahkan tidak sampai. Gak berubah ni tokopedia. Malah sekarang gak bisa komplain. Memang tidak pernah menghargai konsumen,profesional tangan kendala lambat kurir jamin barang beli lambat ubah ni tokopedia komplain harga konsumen,negatif
Bang Karna,1,"ekspedisi rekomendasi tokopedia tidak jelas, untuk tokopedia kalo mau ngasih layanan gratis ongkir yang niat apa,",ekspedisi rekomendasi tokopedia tokopedia kalo ngasih layan gratis ongkir niat,positif
Marchella sosiawan,2,pembayaran sekaligus error mau bayar pulsa Pascabayar dan PDAM sekaligus tdk bs.. error trs,bayar error bayar pulsa pascabayar pdam tdk bs error,negatif
Kholis23 23,1,kecewa dengan toko pedia banyak toko penipunya mending cari yg lain aja mana malah admin toko pedia bantuin penipunya,kecewa toko dia toko tipu mending cari aja admin toko dia bantuin tipu,negatif
Rizky Barkah Bahtiar,1,"ga suka banget sama sistem pengiriman sekarang ga bisa pilih ekspedisi, dipaksa pakai kurir rekomendasi, masalahnya paket sering di over ke berbagai ekspedisi yang membuat paket muter muter disitu",suka banget sistem kirim pilih ekspedisi paksa pakai kurir rekomendasi paket over ekspedisi paket muter muter situ,positif
Fadil Ahmad,5,mantap,mantap,positif
Rizky F. Arman,2,jujur makin kesini kok makin banyak aja ya bug nya,jujur kesini aja ya bug nya,negatif
Taufan Jonet,1,"opsi alasan pembatalan pembelian harusnya ditambahi, BARANG TIDAK READY STOCK TAPI DITAMPILKAN DI ETALASE DENGAN SENGAJA",opsi alas batal beli tambah barang ready stock tampil etalase sengaja,netral
Dilan Nisa,1,ga jelas buka aplikasi mental LG buka aplikasi mental LG hapus ga aja lah,buka aplikasi mental lg buka aplikasi mental lg hapus aja,netral
Endrik Susanto,5,👍,,netral
MOH NURDIN,1,PELAYANAN CS BURUK👹👹👹👹 PELAYANAN BANTUAN/KONSULTASI BURUK.💥💥💥💥💥💣💣💣 PENGADUAN BURUK.✋️✋️✋️✋️✋️😡😡😡😡😡😡👹👹👹🤡🤡👿👿👿😈😈👺👺,layan cs buruk layan bantu konsultasi buruk adu buruk,negatif
Angga Kusuma,5,ok,ok,netral
susilopratama pratama,4,"min tolong toko-toko yang sudah tidak aktif berjualan jangan di tampilkan di pencarian.. atau kasih penjelasan kapan terahir online penjual .... aku sudah cekhout berkali-kali saya tunggu gak di kirim-kirim, ternyata tokonya udah lama gak jualan ... tolong tampilkan saja toko-toko yg masih aktif",min tolong toko toko aktif jual tampil cari kasih jelas terahir online jual cekhout kali kali tunggu kirim kirim toko udah jual tolong tampil toko toko aktif,netral
Ròçķ Mlòŕòď,5,jos,jos,netral
Poco C85,5,membuang uangku Terima kasih tokped,buang uang terima kasih tokped,netral
Yoga Nur arifin,4,tepat waktu,,netral
AhmadXieUud 123,1,tokped ini gaje produk lebel gratis ongkir tp minimal 3 jt lu mau beli apa cokk taik,tokped gaje produk lebel gratis ongkir minimal jt lu beli cokk taik,netral
Element88,1,"ckp kecewa. habis beli barangnya, eh ternyata ad yg lebih bagus + murah. knp gk pas ngesearch ditunjukin ya.. kecewa berat 😔💔",ckp kecewa habis beli barang eh ad bagus murah knp pas ngesearch ditunjukin ya kecewa berat,netral
Irawan Dikdik,5,Its good online shop👍,its good online shop,netral
abdorrosyid Rosyid,5,Alhamdulillah puas,alhamdulillah puas,positif
Mas Jhond,5,Trimakasih Tokped sukses selalu,trimakasih tokped sukses,netral
americano hot,1,tolong cs yang namanya rosalina di evaluasi slow respons atau semua cs tokopedia seperti ini? pelayanan 👎,tolong cs nama rosalina evaluasi slow respons cs tokopedia layan,netral
Maluntui Parut,1,cs chat live tidak menjawab beda dengan cs si oren cepat tanggap,cs chat live beda cs si oren cepat tanggap,positif
JUMADI,5,ok mantap,ok mantap,positif
Lisa Kartika,5,saya suka belanja di Tokopedia,suka belanja tokopedia,netral
Dedi Samsudin,5,"Belanja puas tidak ada tipu 2 , saldo saya Rp 63 ribu bisa belanja lagi barang serupa , yaitu jaring pagar ayam",belanja puas tipu saldo rp ribu belanja barang jaring pagar ayam,netral
alun dwikora,5,respon cepat,respon cepat,positif
Andry Rava,4,good,good,netral
sahrul cdx,1,tampilan terbaru buat pencarian tidak sesuai produk yang cari saja nyusahin,tampil baru cari sesuai produk cari nyusahin,positif
Frenal Renal,1,respon chat pengaduan lelet. ga lagi dah,respon chat adu lelet dah,netral
Ahmad Hidayat,5,sangat memuaskan,muas,netral
Saesar Dwi Rahman,1,tolong lah di notif gratis ongkir waktu checkout g ada kuponnya. tokped ga se bagus yang dulu,tolong notif gratis ongkir checkout g kupon tokped bagus,positif
Dedi Koestiadi,4,Mantappp Tokopedia proses mudah dan cepat.,mantappp tokopedia proses mudah cepat,positif
Rahman Devan,2,tadi siang saya checkout langsung ada no resi ketika saya mau batalkan gk ada fiturnya kalau sekarang saya checkout gk ada respon dari penjual otomatis saya batalkan,siang checkout langsung no resi batal fiturnya checkout respon jual otomatis batal,netral
Ms Arifien,5,👍👍👍👍💥👌,,netral
karie supriyadi,1,"sampai kesal nunggu refund.sudah sabar nunggu, malah kita yg dibikin repot sendiri.suruh cek ini cek itu.barang di cancel oleh system bukan kita yg cancel.dijawab sama RObot.begitu dijawab sama cs cmn email2an sampai 1 bln lebih ngak memuaskan akhirnya.dana juga tidak BALIK.mungkin saya 1 dari sekian orang yg mengalami.klo dialami oleh 100orang saja mungkin dana nya bisa beli cendol 1 propinsi. cukup sudah belanja ditokped.",kesal nunggu refund sabar nunggu bikin repot suruh cek cek barang cancel system cancel robot cs cmn email an bln ngak muas dana sekian orang alami klo alami orang dana nya beli cendol propinsi belanja ditokped,negatif
Suyatno Albany,5,nice,nice,netral
ferdy gartin,5,keren,keren,positif
Karsa Doank,1,"Saya beli pompa air pake gopaylater, angsuran 6 bulan, sedangkan pompa yg saya beli baru 2 minggu udah rusak.. ga bisa di komplen dan pihak Tokopedia ga ada solusi buat bantu masalah saya. ga lagi"" belanja di Tokopedia..",beli pompa air pake gopaylater angsur pompa beli minggu udah rusak komplen tokopedia solusi bantu belanja tokopedia,negatif
Vespa butut Vespabutut,1,toko Pedia aplikasi nya buruk .. lelet buka gambar saja jeda nya lamaaa bikin jengkel.. dan menu buat lihat tagihan gopay later tidak ada menu nya .. mau gimana coba saya bayar tagihan awal ...,toko dia aplikasi nya buruk lelet buka gambar jeda nya lamaaa bikin jengkel menu lihat tagih gopay later menu nya gimana coba bayar tagih,negatif
Trisna Trisna,5,good thxs,good thxs,netral
Erik Prayitno,1,"langganan plus saya diblokir tanpa adanya kejelasan, clk cct",langgan plus blokir jelas clk cct,netral
Ruslann,5,niceee.....,niceee,netral
Sahir Udin,3,"dulu mah bagus, gak kayak sekarang, sekarang mah banyak toko gak jelas, sering belanja dicuekin sama toko sampe batal otomatis, di chat diliat doank gak dibales bikin males belanja nya",mah bagus kayak mah toko belanja dicuekin toko sampe batal otomatis chat liat doank dibales bikin males belanja nya,positif
aspian S.E,5,Alhamdulillah lebih baik,alhamdulillah,netral
One Chan,4,Knp skrg pesan / inbox Tidak bs di hapus.. skrg uda bisa,knp skrg pesan inbox bs hapus skrg uda,netral
Muhamad Fachrurrozi,2,"tolong update kan menu foto untuk memudahkan pencarian barang update keamanan terbaru,user interface tahun sebelumnya, algoritma jangan selalu diubah seperti sistem sebelumnya,jangan pindah ke perusahaan lain terima kasih tolong dibaca!!",tolong update menu foto mudah cari barang update aman baru user interface algoritma ubah sistem pindah usaha terima kasih tolong baca,positif
Vivi Nur Atma,1,"admin dan cs Tokopedia lelet, tidak memberikan solusi dari komplain saya sebagai pembeli yg dirugikan. sudah berkali-kali menghubungi cs tapi cuman jawaban template bilangnya akan diperiksa tapi tidak. sampai sekarang komplain refund barang saya masih belum ada penyelesaian👎🏻👎🏻👎🏻",admin cs tokopedia lelet solusi komplain beli rugi kali kali hubung cs cuman template bilang periksa komplain refund barang selesai,negatif
Rajab Kudus,1,knapa setiap transaksi gak bisa di proses,knapa transaksi proses,netral
Multi Jasa,5,icomer yang bagus tapi saya barang mahal2,icomer bagus barang mahal,positif
Yb Ponsel,5,sangat bagus,bagus,positif
Irwan Paiman,5,OK,ok,netral
Saepul Bahri,1,apk yg terbaru mengalami crash system.. tidak bisa dibuka.. mohon kendala ini diperhatikan akun pribadi sangat penting!!,apk baru alami crash system buka mohon kendala perhati akun pribadi,negatif
Sururi Bin Ishaq,5,"tokped salah satu aplikasi pasar online terbaik dan saran aja, kalo bisa ga ada tuh yg namanya misteri box.",tokped salah aplikasi pasar online baik saran aja kalo tuh nama misteri box,positif
Abdul Wahab,4,"saya sering belanja online tapi pasmau cekot ongkir mahal akhirnya sy cari marketplace yg ongkir nya murah, tolong tokped kasi gratis ongkir dan potongan hargadong biar semangat belanjanya👌👍.",belanja online pasmau cekot ongkir mahal sy cari marketplace ongkir nya murah tolong tokped kasi gratis ongkir potong hargadong biar semangat belanja,positif
agstr_,2,beberapa ulasan produk menunjukkan gambar yg tidak senonoh,ulas produk gambar senonoh,netral
Ahmad Zurmilad,5,lumayan,lumayan,netral
rendy penamas,2,skrg mhl amet ongkire mhalan ongkire timbang brang yg di jual jdi mles blinya,skrg mhl amet ongkire mhalan ongkire timbang brang jual jdi mles blinya,netral
Masnoer,2,"aku pengguna tokopedia,tapi mau mengganti nomor hp yang sudah terdaftar kok ribet,karena nomor tersebut sudah tidak aktip,gak ada fitur ganti nomor yang mudah,bagiku terasa sulit",guna tokopedia ganti nomor hp daftar ribet nomor aktip fitur ganti nomor mudah bagi sulit,negatif
Wendy Firmansyah,1,"Sudah males belanja di toped langganan buyer plus mahal, gratis ongkir pelit, cashback pelit. Produk gak komplit banyak toko yang cabut pindah ke sopi 🤦",males belanja toped langgan buyer plus mahal gratis ongkir pelit cashback pelit produk komplit toko cabut pindah sopi,netral
Ranti Rahayu,1,Beli e-money status berhasil tpi saldo ga masuk. Payah,beli e money status hasil tpi saldo masuk payah,netral
Nopi Indah,5,sangat baik,,netral
